angle,magnitude,occurrences
-0.46,0.17,199
-2.46,0.15,199
-2.49,0.17,199
2.11,0.19,199
-2.78,0.15,199
0.79,0.2,199
0.46,0.14,198
-2.4,0.16,198
1.86,0.22,198
-2.11,0.19,198
2.45,0.17,198
-0.14,0.15,198
-1.16,0.19,198
-2.57,0.18,198
-1.98,0.19,198
-0.66,0.17,198
-0.32,0.17,197
0.4,0.16,197
0.0,0.17,197
1.99,0.21,197
-3.14,0.02,197
-1.57,0.2,197
-0.79,0.2,197
1.52,0.21,197
2.36,0.18,197
-1.33,0.22,197
2.39,0.2,197
-0.71,0.2,197
3.14,0.04,197
-2.21,0.16,197
1.16,0.19,197
-2.16,0.15,197
-0.34,0.16,197
-2.96,0.17,196
-0.44,0.18,196
-1.68,0.2,196
0.39,0.14,196
-1.96,0.2,196
-2.59,0.16,196
-3.14,0.14,195
2.08,0.2,195
-2.94,0.16,195
-2.9,0.18,195
-0.74,0.17,195
-2.19,0.18,195
-1.78,0.21,195
1.41,0.19,195
1.94,0.21,195
-3.14,0.01,194
-0.94,0.2,194
-1.97,0.22,194
1.3,0.2,194
-2.68,0.17,194
2.73,0.19,194
-1.2,0.21,194
0.98,0.19,194
1.62,0.21,194
-1.47,0.2,194
-2.2,0.2,194
-1.37,0.22,194
-3.07,0.16,194
0.74,0.17,193
1.52,0.19,193
-2.4,0.17,193
-1.11,0.19,193
0.46,0.17,193
-1.52,0.21,192
-1.57,0.23,192
0.61,0.17,192
-1.13,0.18,192
0.26,0.17,192
-1.15,0.21,192
-0.92,0.17,192
-0.9,0.19,192
-1.89,0.2,191
-3.08,0.17,191
1.38,0.23,191
1.11,0.17,191
2.71,0.18,191
2.51,0.2,191
-1.46,0.19,191
-2.71,0.18,191
2.76,0.17,191
-3.02,0.17,191
1.63,0.19,191
-1.62,0.21,191
2.65,0.18,191
-1.01,0.2,191
0.57,0.18,190
-2.44,0.18,190
3.08,0.17,190
1.83,0.25,190
-2.51,0.2,190
-1.88,0.21,190
-2.84,0.18,190
2.16,0.23,190
-1.92,0.22,190
-0.26,0.17,190
1.57,0.23,190
-2.32,0.2,190
0.52,0.17,189
-0.75,0.19,189
-0.2,0.16,189
0.62,0.18,189
-1.13,0.2,189
2.17,0.21,189
0.92,0.17,189
0.49,0.16,189
2.96,0.17,189
0.74,0.16,189
-2.36,0.18,189
-1.0,0.18,188
-0.88,0.17,188
1.37,0.22,188
-0.63,0.2,188
-2.52,0.18,188
2.84,0.18,188
-1.73,0.2,188
-0.36,0.18,188
0.38,0.17,188
2.54,0.17,188
-2.6,0.19,188
1.73,0.2,188
-2.08,0.2,188
2.9,0.18,188
1.48,0.22,188
-0.67,0.19,188
-1.83,0.21,188
0.79,0.18,187
2.32,0.2,187
-2.78,0.18,187
2.2,0.2,187
1.68,0.19,187
-0.9,0.2,187
-1.06,0.22,187
-2.01,0.22,187
1.89,0.2,187
1.42,0.22,186
-3.03,0.19,186
2.28,0.2,186
1.35,0.2,186
-2.04,0.21,186
0.75,0.2,186
1.99,0.23,186
2.13,0.2,186
2.1,0.21,186
3.07,0.16,186
2.6,0.19,186
-0.86,0.21,186
0.97,0.21,185
-2.13,0.2,185
1.08,0.18,185
-2.62,0.17,185
-0.96,0.22,185
-0.12,0.17,185
0.2,0.16,185
-1.42,0.22,185
-0.06,0.17,185
1.47,0.21,184
1.06,0.2,184
1.23,0.23,184
-1.43,0.23,184
-0.62,0.18,184
0.07,0.16,184
2.48,0.19,184
0.83,0.17,184
-2.24,0.19,183
-0.67,0.2,183
-2.55,0.19,183
-1.62,0.23,183
2.91,0.19,183
-1.76,0.23,183
-2.76,0.17,183
2.08,0.22,183
0.12,0.17,182
-2.91,0.19,182
0.3,0.18,182
-0.54,0.19,182
-1.67,0.21,182
1.23,0.19,181
-1.04,0.21,181
2.06,0.2,181
-0.49,0.18,181
0.55,0.16,181
0.12,0.18,181
-2.43,0.2,181
-0.75,0.2,180
-1.44,0.24,180
-0.93,0.21,180
-2.48,0.19,180
-0.98,0.19,180
0.32,0.17,180
-2.09,0.17,180
-1.82,0.22,180
2.97,0.18,180
1.79,0.2,180
2.68,0.19,180
-1.7,0.26,179
-1.49,0.26,179
-0.61,0.17,179
1.29,0.19,179
1.92,0.22,179
2.75,0.2,179
-2.86,0.19,179
-0.39,0.2,179
1.71,0.23,179
-0.3,0.18,179
1.62,0.2,179
-0.59,0.19,179
-1.77,0.22,178
1.68,0.2,178
2.36,0.2,178
2.86,0.19,178
3.01,0.16,178
-2.01,0.2,178
1.36,0.21,178
-2.16,0.19,177
-1.23,0.23,177
1.29,0.23,177
-2.36,0.21,177
2.7,0.2,177
0.24,0.18,177
-0.19,0.17,177
-0.24,0.18,177
2.47,0.2,177
-0.07,0.16,176
-1.15,0.23,176
3.14,0.05,176
3.03,0.18,176
-1.52,0.22,176
1.85,0.23,176
-1.32,0.25,176
1.8,0.23,176
1.67,0.21,176
2.04,0.21,176
3.08,0.18,176
-1.71,0.23,176
-1.08,0.2,175
-0.86,0.2,175
0.9,0.19,175
-1.93,0.24,175
-1.17,0.22,175
-2.1,0.21,175
